#bin	chrom	chromStart	chromEnd	ix	n	size	type	bridge
586	chr1	167280	217280	3	N	50000	clone	yes
73	chr1	257582	307582	5	N	50000	contig	no
588	chr1	461231	511231	7	N	50000	contig	no
605	chr1	2624080	2674080	31	N	50000	clone	yes
614	chr1	3835128	3895128	46	N	60000	contig	no
78	chr1	5335220	5385220	65	N	50000	clone	yes
85	chr1	12975585	13025585	150	N	50000	contig	no
685	chr1	13142499	13192499	153	N	50000	contig	no
687	chr1	13429749	13479749	156	N	50000	contig	no
89	chr1	16998245	17048245	195	N	50000	contig	no
101	chr1	29750669	29800669	336	N	50000	contig	no
171	chr1	103636494	103686494	1087	N	50000	contig	no
1377	chr1	103843838	103893838	1089	N	50000	clone	yes
1504	chr1	120498679	120548679	1262	N	50000	contig	no
1506	chr1	120738218	120788218	1264	N	50000	contig	no
1509	chr1	121186957	121236957	1268	N	50000	contig	no
23	chr1	121236957	123476957	1269	N	2240000	centromere	no
0	chr1	123476957	141476957	1270	N	18000000	heterochromatin	no
208	chr1	141672545	141722545	1272	N	50000	contig	no
208	chr1	141909284	141959284	1274	N	50000	contig	no
1669	chr1	142134339	142184339	1276	N	50000	contig	no
1671	chr1	142386048	142436048	1278	N	50000	contig	no
3	chr1	142562525	142612525	1280	N	50000	contig	no
1674	chr1	142807140	142857140	1284	N	50000	contig	no
1675	chr1	142935838	142985838	1286	N	50000	contig	no
209	chr1	143113101	143163101	1288	N	50000	contig	no
1678	chr1	143333770	143383770	1290	N	50000	contig	no
1679	chr1	143422081	143472081	1292	N	50000	contig	no
1679	chr1	143472081	143522081	1293	N	50000	clone	no
210	chr1	144544475	144594475	1307	N	50000	contig	no
1690	chr1	144876007	144926007	1310	N	50000	contig	no
212	chr1	146492662	146542662	1325	N	50000	contig	no
1704	chr1	146727982	146777982	1328	N	50000	contig	no
1706	chr1	146950771	147000771	1330	N	50000	contig	no
1708	chr1	147221084	147271084	1334	N	50000	contig	no
1712	chr1	147726269	147776269	1339	N	50000	contig	no
267	chr1	204189330	204239330	1872	N	50000	contig	no
2145	chr1	204498844	204548844	1875	N	50000	contig	no
2277	chr1	221814469	221864469	2035	N	50000	contig	no
295	chr1	233258834	233308834	2156	N	50000	contig	no
2469	chr1	246974833	247024833	2290	N	50000	contig	no
308	chr1	247199719	247249719	2298	N	50000	clone	no
594	chr2	1254071	1255071	16	N	1000	clone	no
76	chr2	3507187	3557187	39	N	50000	clone	no
623	chr2	4983316	5083316	52	N	100000	clone	no
708	chr2	16171403	16221403	147	N	50000	clone	no
745	chr2	21012571	21037571	188	N	25000	clone	no
158	chr2	89411551	89561551	747	N	150000	clone	no
19	chr2	89958830	90958830	751	N	1000000	heterochromatin	no
2	chr2	91689898	94689898	758	N	3000000	centromere	no
1327	chr2	97284347	97296847	779	N	12500	clone	no
177	chr2	109470304	109612304	881	N	142000	clone	no
178	chr2	110348650	110498650	888	N	150000	clone	no
178	chr2	110858548	111008548	892	N	150000	clone	no
215	chr2	149398828	149498828	1208	N	100000	clone	no
2368	chr2	233711985	233731985	1925	N	20000	clone	no
2411	chr2	239420971	239453971	1975	N	33000	clone	no
301	chr2	239466915	239496915	1977	N	30000	clone	no
2419	chr2	240449069	240474069	1986	N	25000	clone	no
304	chr2	242751149	242951149	2010	N	200000	telomere	no
585	chr3	0	35000	1	N	35000	telomere	no
136	chr3	66115833	66375833	554	N	260000	contig	no
2	chr3	90587544	93487544	772	N	2900000	centromere	no
20	chr3	93487544	94987544	773	N	1500000	heterochromatin	no
2076	chr3	195517797	195537797	1679	N	20000	contig	no
2086	chr3	196837663	196864663	1692	N	27000	contig	no
263	chr3	199446827	199501827	1717	N	55000	telomere	no
74	chr4	1413146	1464146	14	N	51000	clone	no
76	chr4	3883456	3963456	38	N	80000	clone	no
81	chr4	8783740	8933740	81	N	150000	clone	no
12	chr4	31421166	31492166	275	N	71000	clone	no
12	chr4	32468752	32527752	285	N	59000	clone	no
111	chr4	39972791	39992791	354	N	20000	clone	no
119	chr4	49033698	49183698	433	N	150000	clone	no
1	chr4	49354874	52354874	435	N	3000000	centromere	no
1038	chr4	59429326	59479326	497	N	50000	clone	no
139	chr4	69275441	69375441	585	N	100000	clone	no
141	chr4	71536854	71711854	604	N	175000	clone	no
1162	chr4	75641303	75671303	640	N	30000	clone	no
1865	chr4	167795054	167825054	1451	N	30000	clone	no
2044	chr4	191263063	191273063	1650	N	10000	telomere	no
585	chr5	0	63000	1	N	63000	telomere	no
14	chr5	46441398	49441398	451	N	3000000	centromere	no
1284	chr5	91671884	91711884	870	N	40000	clone	no
1329	chr5	97589886	97612886	925	N	23000	clone	no
1644	chr5	138812257	138817257	1348	N	5000	clone	no
1768	chr5	155118920	155123020	1512	N	4100	clone	no
1964	chr5	180837866	180857866	1770	N	20000	telomere	no
585	chr6	0	5000	1	N	5000	telomere	no
655	chr6	9199728	9249728	100	N	50000	contig	no
128	chr6	58195618	58245618	621	N	50000	contig	no
1034	chr6	58888125	58938125	628	N	50000	contig	no
16	chr6	58938125	61938125	629	N	3000000	centromere	no
1059	chr6	62186548	62236548	633	N	50000	contig	no
164	chr6	95737264	95937264	992	N	200000	contig	no
1787	chr6	157582649	157632649	1651	N	50000	clone	yes
3	chr6	167766922	167784922	1755	N	18000	contig	no
235	chr6	170021897	170171897	1781	N	150000	contig	no
1888	chr6	170896992	170899992	1791	N	3000	telomere	no
585	chr7	0	34000	1	N	34000	telomere	no
73	chr7	327567	477567	8	N	150000	clone	no
952	chr7	48167949	48207949	464	N	40000	clone	no
969	chr7	50338125	50378125	483	N	40000	clone	no
1019	chr7	56955418	57005418	549	N	50000	heterochromatin	no
1	chr7	58058273	61058273	559	N	3000000	centromere	no
131	chr7	61314455	61364455	564	N	50000	heterochromatin	no
131	chr7	61554592	61604592	566	N	50000	heterochromatin	no
17	chr7	74353660	74603660	685	N	250000	clone	no
1645	chr7	139029917	139054917	1356	N	25000	clone	no
1759	chr7	153901567	154001567	1502	N	100000	clone	no
220	chr7	154737899	154817899	1511	N	80000	clone	no
80	chr8	7462059	7562059	63	N	100000	clone	no
84	chr8	12099352	12199352	101	N	100000	clone	no
750	chr8	21664232	21681632	180	N	17400	clone	no
101	chr8	29732668	29798768	251	N	66100	clone	no
14	chr8	43958052	46958052	372	N	3000000	centromere	no
953	chr8	48249201	48309201	384	N	60000	clone	no
155	chr8	86069241	86193341	701	N	124100	fragment	yes
155	chr8	86763703	86851003	707	N	87300	clone	no
210	chr8	144006276	144106276	1182	N	100000	clone	no
1694	chr8	145396296	145403396	1196	N	7100	clone	no
887	chr9	39653686	39703686	342	N	50000	contig	no
111	chr9	39964796	40014796	345	N	50000	contig	no
111	chr9	40223029	40273029	347	N	50000	contig	no
893	chr9	40415834	40465834	349	N	50000	contig	no
897	chr9	40930341	40980341	353	N	50000	contig	no
112	chr9	41133214	41183214	356	N	50000	contig	no
900	chr9	41355793	41405793	358	N	50000	contig	no
910	chr9	42603951	42653951	369	N	50000	contig	no
914	chr9	43203694	43253694	374	N	50000	contig	no
114	chr9	43886565	43936565	380	N	50000	contig	no
925	chr9	44616642	44666642	385	N	50000	contig	no
927	chr9	44848289	44898289	387	N	50000	contig	no
116	chr9	45190199	45240199	390	N	50000	contig	no
116	chr9	45705517	45755517	396	N	50000	contig	no
14	chr9	46106426	46156426	399	N	50000	contig	no
117	chr9	46351035	46401035	402	N	50000	contig	no
117	chr9	46899953	46949953	407	N	50000	contig	no
14	chr9	47107499	50107499	409	N	3000000	centromere	no
1	chr9	50107499	65107499	410	N	15000000	heterochromatin	no
135	chr9	65107499	65157499	411	N	50000	clone	no
1082	chr9	65157499	65207499	412	N	50000	contig	no
135	chr9	65658180	65708180	417	N	50000	contig	no
1088	chr9	65932035	65982035	420	N	50000	contig	no
136	chr9	66144476	66194476	422	N	50000	contig	no
1091	chr9	66354015	66404015	424	N	50000	contig	no
1093	chr9	66603163	66653163	427	N	50000	contig	no
1095	chr9	66847654	66897654	429	N	50000	contig	no
1096	chr9	67056116	67106116	431	N	50000	contig	no
1100	chr9	67577818	67627818	436	N	50000	contig	no
137	chr9	68004001	68054001	440	N	50000	contig	no
1105	chr9	68228766	68278766	442	N	50000	contig	no
1108	chr9	68568205	68618205	445	N	50000	contig	no
139	chr9	69300362	69350362	451	N	50000	contig	no
1115	chr9	69508549	69558549	453	N	50000	contig	no
1117	chr9	69746355	69796355	455	N	50000	contig	no
139	chr9	69975288	70025288	457	N	50000	contig	no
1283	chr9	91533236	91583236	640	N	50000	clone	yes
1284	chr9	91668616	91718616	642	N	50000	clone	yes
24	chr9	132112881	132162881	981	N	50000	clone	no
1593	chr9	132162881	132212881	982	N	50000	contig	no
202	chr9	136031014	136231014	1020	N	200000	contig	no
1640	chr9	138306818	138336818	1040	N	30000	contig	no
585	chrX	34821	84821	2	N	50000	contig	no
586	chrX	171384	201384	6	N	30000	contig	no
592	chrX	967557	1017557	14	N	50000	contig	no
593	chrX	1054113	1104113	16	N	50000	contig	no
594	chrX	1184234	1274234	19	N	90000	contig	no
9	chrX	2028238	2128238	29	N	100000	contig	no
867	chrX	37008177	37033177	351	N	25000	contig	no
119	chrX	49129941	49179941	480	N	50000	contig	no
120	chrX	49860913	50040913	490	N	180000	contig	no
15	chrX	52412639	52462639	514	N	50000	contig	no
1	chrX	58598737	61598737	578	N	3000000	centromere	no
1169	chrX	76570348	76590348	717	N	20000	contig	no
1450	chrX	113403924	113473924	1177	N	70000	contig	no
183	chrX	115596318	115616318	1208	N	20000	contig	no
1678	chrX	143335010	143365010	1531	N	30000	contig	no
1720	chrX	148792720	148832720	1586	N	40000	contig	no
585	chrY	34821	84821	2	N	50000	contig	no
586	chrY	171384	201384	6	N	30000	contig	no
592	chrY	967557	1017557	14	N	50000	contig	no
593	chrY	1054113	1104113	16	N	50000	contig	no
594	chrY	1184234	1274234	19	N	90000	contig	no
9	chrY	2028238	2128238	29	N	100000	contig	no
653	chrY	8974955	9024955	91	N	50000	clone	no
10	chrY	9301322	9901322	96	N	600000	clone	no
83	chrY	10714553	11214553	104	N	500000	clone	no
10	chrY	11253954	11653954	106	N	400000	centromere	no
678	chrY	12208578	12308578	111	N	100000	centromere	no
755	chrY	22310816	22360816	201	N	50000	clone	no
1	chrY	27228749	57228749	246	N	30000000	heterochromatin	no
1022	chrY	57327044	57377044	248	N	50000	clone	no
585	chr10	0	50000	1	N	50000	clone	no
78	chr10	5627110	5677110	51	N	50000	clone	yes
722	chr10	18014681	18064681	161	N	50000	clone	yes
881	chr10	38858841	38908841	337	N	50000	contig	no
884	chr10	39194941	39244941	340	N	50000	contig	no
13	chr10	39244941	41624941	341	N	2380000	centromere	no
902	chr10	41624941	41674941	342	N	50000	contig	no
904	chr10	41866693	41916693	344	N	50000	contig	no
116	chr10	45746970	45896970	375	N	150000	contig	no
117	chr10	46849175	46999175	387	N	150000	contig	no
118	chr10	47262482	47412482	390	N	150000	contig	no
118	chr10	47575713	47725713	392	N	150000	contig	no
119	chr10	48715542	48865542	403	N	150000	contig	no
121	chr10	50807416	50857416	419	N	50000	clone	yes
121	chr10	51068851	51118851	421	N	50000	clone	yes
1204	chr10	81231464	81241464	681	N	10000	contig	no
1545	chr10	125859462	125909462	1064	N	50000	clone	yes
1566	chr10	128606059	128656059	1091	N	50000	contig	no
1601	chr10	133271394	133281394	1132	N	10000	contig	no
200	chr10	133527517	133577517	1138	N	50000	clone	yes
585	chr11	0	50000	1	N	50000	telomere	no
593	chr11	1152759	1169335	13	N	16576	clone	no
